record_id,institution_id,course_id,student_id,instructor_id,survey_rating,instructor_eval_score,LMS_logins,LMS_time_spent_minutes,assignments_submitted,attendance_percent,observation_rating,feedback_text,target_quality_label
24,1,ELEC-202,2708,443,4,2,17,164.139366138327,5,55.52418139840324,2,Very informative and well-structured.,0
25,3,MECH-303,2385,393,3,1,20,233.30632340486164,3,93.105203672574,4,Very informative and well-structured.,2
26,7,ELEC-202,3606,158,5,1,16,117.84298674618869,5,91.95961714357692,1,Excellent instructor with clear examples.,2
27,4,MECH-303,3938,237,4,5,14,279.64755991044456,9,82.64963657708589,4,Needs more hands-on practice.,1
28,9,AUT-101,3188,198,5,4,27,233.19320449658375,7,75.11374322976937,3,The class was engaging and clear.,1
29,3,MECH-303,3934,291,4,4,19,204.95925449888637,2,86.07445865658363,2,Too fast-paced and hard to follow.,1
30,5,AUT-101,4989,342,3,5,21,284.1529468201366,3,50.296410766843906,5,Very informative and well-structured.,2
31,3,MECH-303,4189,418,1,4,19,247.4208967110568,9,79.62203776992297,5,Excellent instructor with clear examples.,2
32,7,AUT-101,2300,148,3,1,24,176.2498380691478,0,92.37030674646184,1,Needs more hands-on practice.,0
33,5,MECH-303,3773,131,1,1,15,203.87881548891644,3,67.84499435873775,1,Needs more hands-on practice.,2
34,9,AUT-101,2243,490,1,2,23,101.78628500926273,9,55.414467824145845,5,The class was engaging and clear.,1
35,7,ELEC-202,4976,376,5,5,13,253.20951552744253,9,71.04386248716031,1,Very informative and well-structured.,1
36,2,ELEC-202,4097,119,3,3,22,185.2024161004139,8,86.35522245292535,2,The class was engaging and clear.,2
37,4,AUT-101,1520,253,4,3,11,101.1387577380509,7,55.365060518533625,3,Too fast-paced and hard to follow.,1
38,9,MECH-303,2806,482,3,2,24,140.90807152955043,3,60.3024280106445,3,Too fast-paced and hard to follow.,2
39,2,AUT-101,1009,167,5,2,22,243.5456024224705,6,57.377592341435,4,Too fast-paced and hard to follow.,1
40,9,MECH-303,1983,465,1,4,14,280.69013575180765,9,89.84738777876125,2,Needs more hands-on practice.,0
41,5,ELEC-202,3425,471,5,2,15,201.02127594590434,2,53.14463112262434,1,Very informative and well-structured.,1
42,2,MECH-303,2656,313,2,2,22,150.8974329003553,8,84.32932510572165,1,The class was engaging and clear.,0
43,4,ELEC-202,2660,242,2,3,21,128.9625155160449,9,68.32284603765956,4,The class was engaging and clear.,2
44,7,MECH-303,3729,475,4,4,18,270.73073090705543,3,87.78956214426512,4,Too fast-paced and hard to follow.,1
45,8,MECH-303,3631,331,5,2,19,222.47338892236138,1,98.21917093920189,1,Very informative and well-structured.,1
46,3,MECH-303,3199,312,4,2,22,183.49301896776268,9,55.72726497932412,1,Very informative and well-structured.,0
47,1,AUT-101,1719,178,4,4,18,171.58641069622297,4,65.71925205337293,2,Excellent instructor with clear examples.,1
48,4,AUT-101,2072,313,2,5,31,233.59148188668144,1,90.50627138594285,4,Very informative and well-structured.,2
49,2,ELEC-202,4225,215,4,4,20,232.21592470356802,9,63.30791930255882,2,Very informative and well-structured.,0
50,8,ELEC-202,1858,191,2,3,23,155.17077932720272,5,60.75602985230205,1,The class was engaging and clear.,1
51,4,AUT-101,2316,369,1,5,25,142.8813754549529,9,91.26889889344858,5,Very informative and well-structured.,2
52,2,ELEC-202,2603,480,5,1,23,145.40486521432527,0,99.35411820029852,5,Very informative and well-structured.,1
53,6,AUT-101,1049,267,4,4,20,176.58877097628218,5,77.84402950739829,1,The class was engaging and clear.,2
54,6,MECH-303,3711,157,2,3,26,165.51072732086217,3,63.90243741666696,4,Very informative and well-structured.,0
55,4,ELEC-202,3578,383,3,5,19,280.9046009084783,2,69.92829808000269,5,The class was engaging and clear.,1
56,6,ELEC-202,4683,125,4,4,22,174.81096888702805,1,58.506516369180446,4,Excellent instructor with clear examples.,2
57,2,AUT-101,4131,468,1,2,11,137.5166776025135,6,88.09436394453763,5,Needs more hands-on practice.,2
58,2,ELEC-202,4238,165,1,4,21,140.32512795502362,8,88.6737008911384,4,The class was engaging and clear.,1
59,4,ELEC-202,4273,347,3,1,14,190.80141994792024,2,93.75604961912472,5,The class was engaging and clear.,1
60,8,MECH-303,3904,353,2,4,18,108.89379385105798,5,51.33012817982819,4,Very informative and well-structured.,1
61,7,ELEC-202,1145,486,4,5,23,196.99396430688017,8,78.09906708131896,2,The class was engaging and clear.,0
62,9,MECH-303,1914,143,2,5,18,133.18952497592178,1,60.71277171715922,4,Too fast-paced and hard to follow.,2
63,8,AUT-101,4747,196,1,4,22,257.93051833708506,6,67.04415077461786,2,Too fast-paced and hard to follow.,1
64,5,ELEC-202,4040,141,2,5,17,205.82811746209725,4,89.24778076432537,2,Excellent instructor with clear examples.,1
65,2,MECH-303,2462,326,1,2,12,306.0511800766222,4,59.601682618074804,1,The class was engaging and clear.,2
66,5,AUT-101,3289,361,2,4,16,188.58997102488948,6,81.91708752905448,2,Very informative and well-structured.,1
67,8,ELEC-202,1580,266,3,2,18,43.4128083014873,8,82.72830956117991,3,Very informative and well-structured.,1
68,9,AUT-101,3734,378,5,2,19,272.8840600178102,3,97.70469574511503,2,Needs more hands-on practice.,2
69,9,ELEC-202,2584,188,3,3,20,225.0961579238534,8,88.75804642644685,4,Excellent instructor with clear examples.,2
70,1,AUT-101,1482,478,3,4,19,232.84539394803366,9,90.18175735768467,2,Very informative and well-structured.,1
71,9,AUT-101,4179,277,5,5,27,149.87082051279754,8,76.58003745089468,4,Needs more hands-on practice.,0
72,7,MECH-303,2249,296,5,2,23,197.85759722023056,3,59.33904035811853,4,Very informative and well-structured.,1
73,9,AUT-101,1672,406,4,3,17,209.323043756783,2,71.27816828591759,3,Needs more hands-on practice.,1
74,8,ELEC-202,1630,366,4,4,27,188.10896911969508,1,77.47447867559102,2,Too fast-paced and hard to follow.,1
75,1,ELEC-202,3708,367,3,4,13,113.2818587373263,8,83.92096258568561,2,Too fast-paced and hard to follow.,2
76,8,MECH-303,1661,173,3,1,13,338.4346024129527,1,80.38545559159635,5,Very informative and well-structured.,2
77,8,ELEC-202,4503,107,1,1,21,241.79146189141125,5,69.69889144586217,5,Excellent instructor with clear examples.,2
78,3,ELEC-202,3852,396,1,2,18,221.0292023510198,4,63.26565534979207,1,The class was engaging and clear.,1
79,1,ELEC-202,4726,263,4,1,16,265.694281050699,4,58.411542160184155,4,Excellent instructor with clear examples.,2
80,8,AUT-101,3466,184,4,2,17,232.20961055194206,3,84.69226931361331,3,Excellent instructor with clear examples.,1
81,3,AUT-101,1987,171,1,5,14,166.13985599601497,5,82.26993371562425,5,The class was engaging and clear.,0
82,3,ELEC-202,4526,154,1,2,17,262.48913789088454,4,84.36862328789033,2,Too fast-paced and hard to follow.,0
83,1,MECH-303,4231,492,2,1,24,242.61080032890075,3,68.62637264013975,1,Too fast-paced and hard to follow.,1
84,5,AUT-101,2546,146,2,5,17,168.03570913429706,8,63.12039112853725,3,The class was engaging and clear.,2
85,7,MECH-303,1649,498,1,1,18,239.50073341425224,5,87.98606643404626,2,Needs more hands-on practice.,1
86,9,ELEC-202,1968,337,2,2,15,187.97149839119595,9,88.6823697527667,2,Excellent instructor with clear examples.,1
87,7,ELEC-202,3637,203,5,3,18,210.42390998993065,9,72.78081869834203,4,Very informative and well-structured.,2
88,9,AUT-101,2100,309,4,4,21,229.98252334566132,9,80.59520423836621,4,Too fast-paced and hard to follow.,0
89,8,ELEC-202,3556,141,4,1,15,268.42488506524796,2,68.67598321158707,5,Very informative and well-structured.,2
90,2,AUT-101,1440,415,1,2,24,167.7002007436473,9,85.09736000599034,5,The class was engaging and clear.,1
91,1,ELEC-202,4325,367,3,5,21,218.24810903261317,5,91.78607983239357,2,Very informative and well-structured.,0
92,7,ELEC-202,1920,485,1,1,18,300.78631131155976,0,84.41166386678248,2,Very informative and well-structured.,2
93,7,AUT-101,1769,362,2,1,18,191.19762519865242,4,75.62913134235683,5,Excellent instructor with clear examples.,0
94,8,AUT-101,2343,435,3,4,17,209.82783888497912,9,72.93289797461851,5,The class was engaging and clear.,1
95,5,AUT-101,2826,486,2,2,17,300.7115237238994,5,82.11598254878722,2,Very informative and well-structured.,1
96,3,ELEC-202,1262,464,5,3,21,231.87387359745523,7,83.99054458006651,3,Too fast-paced and hard to follow.,0
97,8,ELEC-202,4668,358,2,5,22,126.30098604194421,8,77.93647217622694,2,The class was engaging and clear.,0
98,6,MECH-303,4729,382,5,2,26,160.22611739228176,2,81.24711375536975,3,Too fast-paced and hard to follow.,0
99,3,AUT-101,4906,213,5,5,16,234.47896071827216,1,54.82943412472661,3,Needs more hands-on practice.,0
100,1,ELEC-202,2577,462,2,1,22,221.15024539452375,3,97.58827580711633,2,Very informative and well-structured.,2
101,3,ELEC-202,4445,139,2,4,11,208.12899333694097,7,89.53865318660169,1,The class was engaging and clear.,1
102,5,AUT-101,3684,319,5,4,19,308.0612091583232,7,68.69639348533919,5,Too fast-paced and hard to follow.,1
103,3,MECH-303,4238,228,3,3,27,169.12564219208025,2,78.1406305476815,4,Very informative and well-structured.,1
104,1,AUT-101,4824,107,5,4,20,196.2793088283982,3,52.366226506821064,2,Excellent instructor with clear examples.,2
105,5,MECH-303,3506,200,4,1,28,101.84448952808822,2,52.06139069995302,3,Too fast-paced and hard to follow.,2
106,7,ELEC-202,1998,479,5,3,24,258.0329944400486,9,62.539916755598135,2,Too fast-paced and hard to follow.,2
107,7,MECH-303,4351,275,3,2,18,160.057384946871,1,84.48508211823116,5,Needs more hands-on practice.,2
108,9,ELEC-202,1699,206,4,4,26,252.85683844004646,3,92.60738739000058,3,Excellent instructor with clear examples.,1
109,3,AUT-101,3349,200,1,3,15,247.60150657186506,5,77.95929399899242,4,Needs more hands-on practice.,1
110,7,AUT-101,4602,359,1,1,10,317.4549629393889,4,76.60663697911762,4,Excellent instructor with clear examples.,1
111,1,AUT-101,2603,465,3,5,32,232.4637788265606,2,70.1154766895733,4,Too fast-paced and hard to follow.,1
112,4,MECH-303,2241,345,5,5,22,182.19566878399456,1,58.079897797901054,1,Needs more hands-on practice.,1
113,4,ELEC-202,2125,374,2,1,18,222.6811479998546,8,55.917705066329376,3,Very informative and well-structured.,1
114,5,AUT-101,3601,131,3,1,16,162.0373576085706,0,88.0339880610483,3,Excellent instructor with clear examples.,2
115,7,AUT-101,3335,236,4,5,22,215.95800887544544,8,96.37517756482879,1,Too fast-paced and hard to follow.,2
116,7,ELEC-202,2190,111,4,3,18,189.95487472288139,0,72.91416081931365,3,The class was engaging and clear.,1
117,4,AUT-101,3668,494,1,5,14,196.48307751640644,6,82.97228293578192,1,Excellent instructor with clear examples.,2
118,7,ELEC-202,2005,401,4,1,22,155.08167560362182,5,95.72288254404705,2,Excellent instructor with clear examples.,1
119,3,ELEC-202,1035,474,3,4,17,215.02230298813882,6,54.50568164670723,5,Very informative and well-structured.,0
120,6,ELEC-202,1743,115,4,2,12,241.21150128430344,2,88.5240726559515,4,Excellent instructor with clear examples.,1
121,2,ELEC-202,2764,228,3,4,20,117.39516026641364,2,80.84084421877876,1,Excellent instructor with clear examples.,1
122,9,ELEC-202,1352,162,2,4,24,165.57036733674312,0,79.93185894149306,1,Very informative and well-structured.,0
123,5,MECH-303,4747,208,1,1,27,208.40235845901353,3,64.62702142407849,1,Very informative and well-structured.,2
124,6,AUT-101,2922,474,4,5,25,82.6341679393293,1,84.19466773888385,2,Needs more hands-on practice.,1
125,4,MECH-303,1072,120,3,3,16,287.01322168564593,9,89.73988774103883,1,Too fast-paced and hard to follow.,1
126,7,AUT-101,3695,257,5,4,17,164.44445927234725,7,55.642908247184856,5,Too fast-paced and hard to follow.,0
127,9,MECH-303,2376,368,1,5,15,153.0956240620786,2,76.6760715490492,5,Needs more hands-on practice.,0
128,7,ELEC-202,2914,261,2,3,19,189.63288618716058,6,55.06325904937049,4,Too fast-paced and hard to follow.,2
129,1,AUT-101,2093,359,3,4,22,206.86864193991119,6,93.62870096488223,2,Excellent instructor with clear examples.,1
130,1,AUT-101,3472,201,2,3,29,162.17635510238313,8,75.38183613281737,5,Needs more hands-on practice.,2
131,9,MECH-303,4046,322,2,5,17,249.02068329944635,5,90.39828446303787,3,Needs more hands-on practice.,2
132,9,MECH-303,1707,158,4,2,21,219.98532697206116,0,68.40428188331072,3,Too fast-paced and hard to follow.,1
133,4,AUT-101,2804,346,4,5,22,158.13790531973223,7,56.25391134081627,3,The class was engaging and clear.,1
134,9,MECH-303,3608,227,3,1,22,173.87974415388143,0,52.07496521928557,1,Too fast-paced and hard to follow.,2
135,3,MECH-303,3875,382,5,3,16,124.16151518048405,2,64.07548103861878,1,The class was engaging and clear.,2
136,7,MECH-303,4713,424,3,2,22,137.3329552232582,4,62.21168501820392,3,Needs more hands-on practice.,1
137,6,ELEC-202,1955,124,5,3,19,219.37991641061808,7,78.0175987009981,4,The class was engaging and clear.,2
138,8,ELEC-202,3564,230,2,3,17,158.65677219650857,8,51.08694190318537,4,Excellent instructor with clear examples.,2
139,9,MECH-303,3475,452,1,4,28,290.2142226524546,6,76.02852721495867,1,Very informative and well-structured.,1
140,5,MECH-303,4610,295,3,1,19,203.54616001545713,8,69.58858710060017,3,The class was engaging and clear.,1
141,1,ELEC-202,1159,380,3,3,14,132.35882874480023,2,78.85611349572211,4,Very informative and well-structured.,2
142,3,ELEC-202,3196,253,5,5,14,142.83263569662188,4,85.12087640751824,1,Excellent instructor with clear examples.,1
143,8,AUT-101,3823,481,2,5,17,252.64848473407142,9,81.70459725399195,3,Very informative and well-structured.,0
144,6,AUT-101,4301,232,2,4,12,196.17431986954628,7,99.23221846866832,2,Excellent instructor with clear examples.,1
145,8,ELEC-202,2735,326,5,1,26,249.5997413278818,0,56.91326719384355,3,Very informative and well-structured.,0
146,9,MECH-303,2585,288,2,1,23,181.6756009960967,7,71.48685044648893,3,Very informative and well-structured.,1
147,4,MECH-303,1066,364,4,5,26,171.9883953748245,6,71.24153683216556,5,Too fast-paced and hard to follow.,2
148,1,MECH-303,4061,471,1,2,16,255.97236855171926,0,70.85266018514604,5,The class was engaging and clear.,0
149,1,MECH-303,4883,233,3,4,16,157.07113114857037,9,83.18991960213341,2,Very informative and well-structured.,1
150,4,AUT-101,3428,310,1,4,15,224.4527066685181,9,74.49140302733612,2,Needs more hands-on practice.,1
151,7,ELEC-202,1057,159,3,5,19,189.4108194799316,5,75.87162799064815,3,Too fast-paced and hard to follow.,1
152,2,MECH-303,4330,476,4,5,14,243.93617066878875,0,71.61779960733824,4,The class was engaging and clear.,1
153,3,AUT-101,1341,494,2,2,11,290.92419937679,1,99.58497305092813,2,Too fast-paced and hard to follow.,1
154,1,MECH-303,4909,463,5,2,20,180.39111583994955,4,96.37806744095211,3,The class was engaging and clear.,0
155,5,ELEC-202,2153,463,4,1,26,172.64289306017722,1,65.38620946821855,1,Excellent instructor with clear examples.,1
156,1,AUT-101,3774,312,1,4,20,233.29041945186776,9,55.57969623833336,5,Very informative and well-structured.,1
157,8,ELEC-202,2195,315,5,4,25,145.89982023984658,0,91.98823620193014,4,Needs more hands-on practice.,1
158,1,ELEC-202,3817,325,2,5,14,280.8232728925018,5,99.85851257128623,3,Too fast-paced and hard to follow.,2
159,1,AUT-101,3661,230,4,1,22,272.30112750282365,7,64.63044470198227,1,Too fast-paced and hard to follow.,1
160,2,AUT-101,2232,175,5,4,17,150.04401804197846,7,67.88924629208832,5,Too fast-paced and hard to follow.,0
161,2,AUT-101,4874,385,4,1,17,120.84375902965469,7,97.08165907426014,1,Too fast-paced and hard to follow.,2
162,6,AUT-101,3401,376,4,1,18,141.9711423571891,5,85.5564759001545,3,Very informative and well-structured.,1
163,7,AUT-101,2494,255,2,5,20,142.7315180020441,2,64.7819165889818,2,The class was engaging and clear.,1
164,5,AUT-101,2821,347,3,1,13,240.08802821774884,0,79.05232456419576,5,Very informative and well-structured.,1
165,1,AUT-101,1115,317,5,2,20,277.4585157889702,1,97.2114789682128,1,Excellent instructor with clear examples.,1
166,1,MECH-303,4335,289,2,2,23,239.5063106309412,4,90.59065534728893,2,Very informative and well-structured.,2
167,3,ELEC-202,1661,262,4,3,23,188.19038916917714,9,87.09163568643298,4,Very informative and well-structured.,2
168,2,AUT-101,4883,279,2,5,16,217.1249233455207,4,86.84981558635113,3,Excellent instructor with clear examples.,1
169,5,MECH-303,2465,133,3,3,23,156.51109835974825,9,58.90101621461352,3,Very informative and well-structured.,1
170,6,MECH-303,4619,140,5,2,16,254.8604022782116,0,91.23406196139683,5,The class was engaging and clear.,1
171,7,MECH-303,3500,406,3,3,28,221.60144699912664,0,63.805931622172906,1,Needs more hands-on practice.,2
172,4,ELEC-202,2868,437,1,5,16,238.65988910082314,8,96.51833289507647,4,Excellent instructor with clear examples.,2
173,7,AUT-101,4548,413,5,5,17,163.62321490701123,1,68.23199955068915,5,Too fast-paced and hard to follow.,0
174,8,MECH-303,3334,174,3,1,12,191.57014065656767,6,92.88301985211282,5,The class was engaging and clear.,0
175,1,ELEC-202,4374,378,4,4,23,236.25365699906015,9,63.31167472589007,1,Needs more hands-on practice.,1
176,6,ELEC-202,2016,275,5,1,24,272.1756449761807,3,75.72634682911203,4,The class was engaging and clear.,0
177,8,ELEC-202,1310,483,5,5,17,169.59501202757076,6,55.34426477445303,1,The class was engaging and clear.,1
178,5,MECH-303,1207,249,2,2,17,239.02259535854097,7,83.0059451498087,3,Too fast-paced and hard to follow.,0
179,4,AUT-101,3665,372,4,2,26,164.39641016948582,4,91.80396375834192,2,Needs more hands-on practice.,1
180,2,MECH-303,3493,424,1,1,26,305.8596886413304,0,85.9223640651208,3,The class was engaging and clear.,2
181,6,MECH-303,3717,207,3,5,20,179.25876458637353,3,76.16292564693286,3,Too fast-paced and hard to follow.,2
182,6,AUT-101,1632,238,2,2,18,232.17525870260556,9,52.255793930072976,5,Excellent instructor with clear examples.,1
183,1,AUT-101,3102,449,3,5,14,208.28048076168162,2,96.67205035854292,3,Too fast-paced and hard to follow.,1
184,9,AUT-101,3959,370,1,2,27,330.2651560680247,9,85.27447742893173,4,Very informative and well-structured.,2
185,6,ELEC-202,4083,446,1,5,14,211.4950804012282,4,87.29321191826665,3,Too fast-paced and hard to follow.,0
186,3,AUT-101,1656,388,5,3,15,174.2471988504936,9,89.73402877554037,4,Too fast-paced and hard to follow.,1
187,4,MECH-303,2423,311,1,5,11,231.97532563065315,9,87.38717129638053,1,Too fast-paced and hard to follow.,1
188,4,AUT-101,2931,480,3,5,18,230.86204333876864,5,72.05580820491669,5,The class was engaging and clear.,1
189,3,MECH-303,4719,371,4,1,23,192.1265068120529,1,86.68109146439734,4,Needs more hands-on practice.,1
190,3,ELEC-202,4027,165,4,3,25,145.26170678859458,6,81.25133939051645,3,Too fast-paced and hard to follow.,0
191,3,MECH-303,3562,347,5,4,17,173.60005693048217,2,92.70081668343933,5,Too fast-paced and hard to follow.,1
192,4,MECH-303,2679,255,3,1,23,244.07494740724596,0,90.12299076686853,5,Very informative and well-structured.,1
193,7,AUT-101,4613,146,3,4,18,112.62755268830186,9,52.068719123362996,4,Very informative and well-structured.,1
194,4,AUT-101,1236,300,1,2,24,187.59770503071434,2,68.94435451663026,4,Excellent instructor with clear examples.,0
195,9,MECH-303,4350,247,3,4,26,249.74319609083915,8,51.73580760919473,2,Excellent instructor with clear examples.,2
196,1,AUT-101,1347,223,2,5,15,195.32518904999762,9,55.10374623830489,2,Very informative and well-structured.,1
197,8,ELEC-202,3674,100,1,4,23,308.68550697763715,5,80.07053610018056,5,Needs more hands-on practice.,1
198,7,ELEC-202,4175,346,2,1,19,112.76748798506738,5,93.69109105811268,2,Excellent instructor with clear examples.,1
199,2,AUT-101,1629,442,5,1,16,151.9316065540283,3,55.99123793546336,3,Needs more hands-on practice.,1
200,8,ELEC-202,2540,227,4,4,25,84.2683098873606,7,72.55446437334157,1,Very informative and well-structured.,0
201,1,AUT-101,3003,290,5,1,20,299.68452833726496,4,95.54394524032219,5,Excellent instructor with clear examples.,2
202,9,MECH-303,4943,166,4,1,30,152.75064246241848,6,90.7150491835794,1,Too fast-paced and hard to follow.,0
203,9,MECH-303,2271,103,5,4,19,100.65393441358336,8,75.98339482329649,2,Very informative and well-structured.,0
204,2,ELEC-202,1363,402,3,3,23,169.40403427872826,4,88.57857196644156,4,Excellent instructor with clear examples.,2
205,7,AUT-101,3368,393,2,3,19,130.3595445905765,4,76.13468870222685,5,Needs more hands-on practice.,1
206,3,AUT-101,4704,242,4,2,22,169.76075548472986,3,57.90461686414244,2,Needs more hands-on practice.,1
207,7,ELEC-202,1285,290,1,1,22,202.06146254724518,5,56.236805661083956,3,Excellent instructor with clear examples.,1
208,9,MECH-303,1148,120,2,4,19,240.24605520235502,1,59.41841160335349,5,Needs more hands-on practice.,1
209,4,ELEC-202,2107,326,1,1,16,191.26655299445312,2,67.54610474828397,5,Excellent instructor with clear examples.,2
210,1,MECH-303,3453,412,2,5,30,201.2645349667338,0,96.52646338370093,4,Excellent instructor with clear examples.,1
211,2,AUT-101,4025,216,2,1,23,170.92023884649348,1,89.98392068268006,5,Needs more hands-on practice.,1
212,1,MECH-303,1455,401,5,1,25,124.41508863751704,1,71.64007806131588,4,The class was engaging and clear.,2
213,5,ELEC-202,2766,241,4,3,23,107.67298785170493,7,74.65383548937871,2,Too fast-paced and hard to follow.,1
214,5,AUT-101,1799,138,4,4,25,181.77571098318194,7,63.28047288332074,3,Very informative and well-structured.,1
215,7,ELEC-202,2184,492,2,1,22,204.2319889271607,1,85.21764782360651,3,Too fast-paced and hard to follow.,1
216,9,ELEC-202,2012,454,3,3,20,178.06927393868745,5,90.1382835731019,5,Very informative and well-structured.,1
217,9,MECH-303,3831,351,3,2,22,109.5336503569329,4,61.94523478337883,5,Very informative and well-structured.,2
218,3,ELEC-202,3507,432,1,3,19,210.07000466340858,2,52.09108118932327,2,Too fast-paced and hard to follow.,2
219,3,MECH-303,4621,306,1,3,23,281.4652441452157,4,81.19444715814852,4,Excellent instructor with clear examples.,0
220,3,AUT-101,2523,309,5,3,25,194.26767432444262,4,78.12560595676584,3,Needs more hands-on practice.,0
221,4,MECH-303,3785,214,2,1,22,171.02347112119588,4,70.10655775144382,4,The class was engaging and clear.,0
222,8,AUT-101,3556,324,1,1,23,196.97529798782404,2,82.1946970886605,2,The class was engaging and clear.,1
223,6,MECH-303,4725,233,1,2,16,144.78100777184406,2,77.53066489925718,3,The class was engaging and clear.,0
224,8,ELEC-202,4875,350,2,5,21,141.55504353519257,3,62.52907882970964,3,Too fast-paced and hard to follow.,1
225,1,MECH-303,1480,318,5,5,24,222.57070440473183,6,69.88644878113612,1,Too fast-paced and hard to follow.,2
226,8,MECH-303,2686,190,1,5,15,249.5160764516166,1,71.40567848736208,2,Excellent instructor with clear examples.,2
227,4,AUT-101,3161,453,5,2,20,192.645082390279,9,94.01239972377817,2,The class was engaging and clear.,1
228,1,ELEC-202,3796,475,4,5,20,101.31174761921166,3,98.04520770644797,1,Excellent instructor with clear examples.,1
229,8,MECH-303,2601,145,5,5,16,217.66744632678754,3,94.65006811982485,4,The class was engaging and clear.,1
230,4,ELEC-202,3408,137,3,3,12,303.3691085168724,0,85.95890120259898,1,Too fast-paced and hard to follow.,2
231,6,MECH-303,1340,241,3,1,25,187.80509182758576,9,79.24963668029109,2,Needs more hands-on practice.,2
232,8,MECH-303,3817,199,5,1,18,191.10771122982885,7,84.46308177329774,4,Needs more hands-on practice.,2
233,4,ELEC-202,3010,427,3,3,16,156.36832349430307,0,96.95546103663445,3,Needs more hands-on practice.,1
234,3,MECH-303,3808,289,4,3,16,224.06769989467048,7,62.49993676119159,1,Needs more hands-on practice.,1
235,9,ELEC-202,4016,134,2,3,16,166.45082677526938,6,76.75602538367025,4,Very informative and well-structured.,0
236,3,MECH-303,3496,246,3,1,19,251.0750948834297,8,84.4804009500204,4,The class was engaging and clear.,1
237,9,AUT-101,2866,129,3,5,25,167.12097267574222,7,83.96235006621373,4,Needs more hands-on practice.,1
238,2,ELEC-202,1834,433,5,3,13,217.0895734059482,4,62.61394797884182,1,Very informative and well-structured.,1
239,2,MECH-303,2203,183,4,2,21,197.68278769702198,7,79.3365763694876,3,Very informative and well-structured.,1
240,2,MECH-303,2725,468,2,3,16,277.755580965465,9,89.79565712100782,4,Very informative and well-structured.,1
241,6,AUT-101,4478,380,5,4,17,220.47396930990243,2,73.7539490025122,1,Excellent instructor with clear examples.,0
242,3,ELEC-202,2689,443,5,3,26,269.35036595624604,9,89.66490383493675,2,Excellent instructor with clear examples.,0
243,9,MECH-303,4267,369,4,1,17,205.43117503885833,6,67.99412988772774,1,Very informative and well-structured.,0
244,4,AUT-101,4537,253,2,3,16,191.46298497428592,3,96.93800635818795,1,Needs more hands-on practice.,0
245,1,MECH-303,1310,201,4,4,14,198.09046152323876,4,76.69642202495506,1,The class was engaging and clear.,0
246,4,ELEC-202,1261,314,2,2,20,161.42953993114037,8,79.79739753963071,4,Too fast-paced and hard to follow.,1
247,1,MECH-303,2442,249,4,5,21,226.58343918519358,6,51.56807844022942,1,Excellent instructor with clear examples.,1
